Flight_Number,Comprehensive_Impact_Score,Cascading_Impact_Score,Departure_Delay_Minutes,Arrival_Delay_Minutes,Flight_Frequency,Route_Frequency,Betweenness_Centrality,Closeness_Centrality,Eigenvector_Centrality,Route
9I623,33.88460438492926,84.61333333333333,134.28571428571428,141.28571428571428,7,7,0.13328776486671223,0.02558048012593467,0.025974025974025976,BOM-DIU
QP1529,31.4770958620327,78.53571428571429,123.71428571428571,129.71428571428572,7,14,0.2265892002734108,0.025474525474525476,0.025974025974025976,BOM-DBR
AI2579,27.461791590546618,68.48785714285714,108.42857142857143,111.14285714285714,7,14,0.2460697197539303,0.02518693427784337,0.025974025974025976,BOM-UDR
SG2905,27.434961418368054,68.50357142857143,109.14285714285714,113.0,7,7,0.1045796308954204,0.02559759081498212,0.025974025974025976,BOM-IXY
6E1157,27.282726442940195,68.09190476190476,104.71428571428571,115.14285714285714,7,7,0.16678058783321942,0.025555090071219106,0.025974025974025976,BOM-KTM
6E6827,26.573345751080552,66.25404761904761,95.85714285714286,102.14285714285714,7,56,0.12406015037593986,0.0255863539445629,0.025974025974025976,BOM-DEL
6E5097,25.67359316473001,64.10285714285713,96.28571428571429,104.0,7,28,0.02563226247436774,0.025632262474367735,0.025974025974025976,BOM-HYD
QP1385,25.670429017348567,64.04119047619048,102.85714285714286,104.42857142857143,7,7,0.2067669172932331,0.025510204081632654,0.025974025974025976,BOM-IXB
6E673,25.57184954535098,63.77976190476191,96.14285714285714,105.28571428571429,7,14,0.21223513328776486,0.02550177095631641,0.025974025974025976,BOM-COK
SQ421,25.201501501912027,62.935,98.57142857142857,102.42857142857143,7,14,0.04989747095010253,0.025623025623025625,0.025974025974025976,BOM-SIN
6E5206,25.15871961722488,62.8095238095238,93.57142857142857,101.28571428571429,7,28,0.03793574846206425,0.025627705627705628,0.025974025974025976,BOM-MAA
6E535,25.09582157527399,62.576904761904764,98.0,102.0,7,14,0.23786739576213262,0.025443943811290747,0.025974025974025976,BOM-DBR
6E5316,25.081904153740997,62.60214285714286,100.14285714285714,102.42857142857143,7,7,0.1421736158578264,0.025574425574425578,0.025974025974025976,BOM-BEK
BA134,24.182592370536728,60.29761904761905,92.85714285714286,99.71428571428571,7,14,0.23069036226930967,0.02504638218923933,0.025974025974025976,BOM-LHR
QP1518,24.108309372605067,60.12690476190476,95.0,97.14285714285714,7,14,0.20095693779904308,0.024793388429752063,0.025974025974025976,BOM-COK
VS355,24.10458737247158,60.109047619047615,92.85714285714286,98.71428571428571,7,14,0.21736158578263845,0.02549302549302549,0.025974025974025976,BOM-LHR
6E624,23.832201207564363,59.42857142857143,91.85714285714286,99.57142857142857,7,7,0.24094326725905674,0.025432900432900436,0.025974025974025976,BOM-TRV
6E6118,23.606079059835274,58.86190476190477,90.0,99.71428571428571,7,7,0.24367737525632263,0.025421387123514782,0.025974025974025976,BOM-TRZ
AI2632,22.603061587122887,56.357619047619046,81.42857142857143,88.42857142857143,7,42,0.11449077238550924,0.025592055003819707,0.025974025974025976,BOM-BLR
AI633,22.382105589731907,55.79976190476191,87.57142857142857,92.14285714285714,7,7,0.2481203007518797,0.025396825396825397,0.025974025974025976,BOM-BHO
6E1305,22.230355409684083,55.42738095238095,88.85714285714286,90.0,7,7,0.23444976076555027,0.025078369905956112,0.025974025974025976,BOM-DOH
ET641,21.894805673274096,54.614761904761906,86.42857142857143,88.85714285714286,7,7,0.1814764183185236,0.02554112554112554,0.025974025974025976,BOM-ADD
6E6087,21.776525882889043,54.29261904761905,84.42857142857143,90.14285714285714,7,7,0.23444976076555027,0.025454545454545455,0.025974025974025976,BOM-CNN
AI2444,21.489778172704487,53.55571428571428,81.14285714285714,84.28571428571429,7,28,0.20095693779904308,0.025518341307814992,0.025974025974025976,BOM-HYD
6E5313,21.30997151319858,53.08190476190476,79.71428571428571,84.28571428571429,7,28,0.2498291182501709,0.025231910946196662,0.025974025974025976,BOM-MAA
