Hour_Adjustment,Minute_Adjustment,New_STD_Hour,New_STD_Minute,Predicted_Delay,Delay_Improvement,New_STD_Time
-2,-30,4,0,138.05184216088585,11.519586410542729,04:00
-2,-15,4,15,138.38383874856189,11.187589822866698,04:15
-2,0,4,30,138.71583533623792,10.855593235190668,04:30
-2,15,4,45,139.04783192391398,10.523596647514609,04:45
-1,-30,5,0,140.00256733908677,9.568861232341817,05:00
-1,-15,5,15,140.33456392676285,9.23686464466573,05:15
-1,0,5,30,140.66656051443888,8.904868056989699,05:30
-1,15,5,45,140.99855710211492,8.572871469313668,05:45
0,-30,6,0,149.0105199074657,0.5609086639628913,06:00
0,-15,6,15,149.34251649514178,0.22891207628680377,06:15
0,0,6,30,149.6745130828178,-0.10308451138922692,06:30
0,15,6,45,150.00650967049384,-0.4350810990652576,06:45
1,-30,7,0,148.25143040431794,1.31999816711064,07:00
1,-15,7,15,148.58342699199397,0.9880015794346093,07:15
1,0,7,30,148.91542357967003,0.6560049917585502,07:30
1,15,7,45,149.2474201673461,0.3240084040824911,07:45
2,-30,8,0,147.4923409011702,2.0790876702583887,08:00
2,-15,8,15,147.82433748884623,1.747091082582358,08:15
2,0,8,30,148.15633407652226,1.4150944949063273,08:30
2,15,8,45,148.48833066419837,1.0830979072302114,08:45
